day,value
2016-07-05,NA
2016-07-06,NA
2016-07-07,NA
2016-07-08,NA
2016-07-09,NA
2016-07-10,NA
2016-07-11,NA
2016-07-12,NA
2016-07-13,NA
2016-07-14,NA
2016-07-15,NA
2016-07-16,NA
2016-07-17,NA
2016-07-18,NA
2016-07-19,NA
2016-07-20,NA
2016-07-21,NA
2016-07-22,NA
2016-07-23,NA
2016-07-24,NA
2016-07-25,NA
2016-07-26,NA
2016-07-27,NA
2016-07-28,NA
2016-07-29,NA
2016-07-30,15.0
2016-07-31,10.0
2016-08-01,NA
2016-08-02,NA
2016-08-03,NA
2016-08-04,NA
2016-08-05,NA
2016-08-06,NA
2016-08-07,NA
2016-08-08,NA
2016-08-09,NA
2016-08-10,NA
2016-08-11,NA
2016-08-12,NA
2016-08-13,NA
2016-08-14,NA
2016-08-15,NA
2016-08-16,NA
2016-08-17,NA
2016-08-18,NA
2016-08-19,NA
2016-08-20,NA
2016-08-21,NA
2016-08-22,NA
2016-08-23,NA
2016-08-24,NA
2016-08-25,NA
2016-08-26,NA
2016-08-27,NA
2016-08-28,NA
2016-08-29,NA
2016-08-30,16.0
2016-08-31,14.0
2016-09-01,NA
2016-09-02,NA
2016-09-03,NA
2016-09-04,NA
2016-09-05,NA
2016-09-06,NA
2016-09-07,NA
2016-09-08,NA
2016-09-09,NA
2016-09-10,NA
2016-09-11,NA
2016-09-12,NA
2016-09-13,NA
2016-09-14,NA
2016-09-15,NA
2016-09-16,NA
2016-09-17,NA
2016-09-18,NA
2016-09-19,NA
2016-09-20,NA
2016-09-21,NA
2016-09-22,NA
2016-09-23,NA
2016-09-24,NA
2016-09-25,NA
2016-09-26,NA
2016-09-27,NA
2016-09-28,NA
2016-09-29,12.0
2016-09-30,26.0
2016-10-01,NA
2016-10-02,NA
2016-10-03,NA
2016-10-04,NA
2016-10-05,NA
2016-10-06,NA
2016-10-07,NA
2016-10-08,NA
2016-10-09,NA
2016-10-10,NA
2016-10-11,NA
2016-10-12,NA
2016-10-13,NA
2016-10-14,NA
2016-10-15,NA
2016-10-16,NA
2016-10-17,NA
2016-10-18,NA
2016-10-19,NA
2016-10-20,NA
2016-10-21,NA
2016-10-22,NA
2016-10-23,NA
2016-10-24,NA
2016-10-25,NA
2016-10-26,NA
2016-10-27,NA
2016-10-28,NA
2016-10-29,NA
2016-10-30,NA
2016-10-31,22.0
2016-11-01,12.0
2016-11-02,NA
2016-11-03,NA
2016-11-04,NA
2016-11-05,NA
2016-11-06,NA
2016-11-07,NA
2016-11-08,NA
2016-11-09,NA
2016-11-10,NA
2016-11-11,NA
2016-11-12,NA
2016-11-13,NA
2016-11-14,NA
2016-11-15,NA
2016-11-16,NA
2016-11-17,NA
2016-11-18,NA
2016-11-19,NA
2016-11-20,NA
2016-11-21,NA
2016-11-22,NA
2016-11-23,NA
2016-11-24,NA
2016-11-25,NA
2016-11-26,NA
2016-11-27,NA
2016-11-28,NA
2016-11-29,NA
2016-11-30,18.0
2016-12-01,8.0
2016-12-02,NA
2016-12-03,NA
2016-12-04,NA
2016-12-05,NA
2016-12-06,NA
2016-12-07,NA
2016-12-08,NA
2016-12-09,NA
2016-12-10,NA
2016-12-11,NA
2016-12-12,NA
2016-12-13,NA
2016-12-14,NA
2016-12-15,NA
2016-12-16,NA
2016-12-17,NA
2016-12-18,NA
2016-12-19,NA
2016-12-20,NA
2016-12-21,NA
2016-12-22,NA
2016-12-23,NA
2016-12-24,NA
2016-12-25,NA
2016-12-26,NA
2016-12-27,NA
2016-12-28,NA
2016-12-29,NA
2016-12-30,NA
2016-12-31,13.0
2017-01-01,12.0
